CMDLINE python3 alignEM.py
MEM 248.128906 1670019772.7750
CHLD 34289 9.410156 1670019772.7834
CHLD 34296 26.097656 1670019772.7834
CHLD 34297 78.964844 1670019772.7834
MEM 248.132812 1670019772.8837
CHLD 34289 9.410156 1670019772.8924
CHLD 34296 26.097656 1670019772.8924
CHLD 34297 78.964844 1670019772.8925
MEM 248.132812 1670019772.9953
CHLD 34289 9.410156 1670019773.0040
CHLD 34296 26.097656 1670019773.0041
CHLD 34297 78.964844 1670019773.0041
MEM 248.132812 1670019773.1090
CHLD 34289 9.410156 1670019773.1191
CHLD 34296 26.097656 1670019773.1191
CHLD 34297 78.964844 1670019773.1191
MEM 248.140625 1670019773.2235
CHLD 34289 9.410156 1670019773.2341
CHLD 34296 26.097656 1670019773.2341
CHLD 34297 78.964844 1670019773.2341
MEM 248.144531 1670019773.3382
CHLD 34289 9.410156 1670019773.3466
CHLD 34296 26.097656 1670019773.3466
CHLD 34297 78.964844 1670019773.3466
MEM 248.144531 1670019773.4468
CHLD 34289 9.410156 1670019773.4553
CHLD 34296 26.097656 1670019773.4554
CHLD 34297 78.964844 1670019773.4554
MEM 248.156250 1670019773.5565
CHLD 34289 9.410156 1670019773.5670
CHLD 34296 26.097656 1670019773.5670
CHLD 34297 78.964844 1670019773.5670
MEM 248.171875 1670019773.6691
CHLD 34289 9.410156 1670019773.6799
CHLD 34296 26.097656 1670019773.6799
CHLD 34297 78.964844 1670019773.6799
MEM 248.171875 1670019773.7819
CHLD 34289 9.410156 1670019773.7897
CHLD 34296 26.097656 1670019773.7897
CHLD 34297 78.964844 1670019773.7897
MEM 248.175781 1670019773.8922
CHLD 34289 9.410156 1670019773.9008
CHLD 34296 26.097656 1670019773.9008
CHLD 34297 78.964844 1670019773.9008
MEM 248.187500 1670019774.0033
CHLD 34289 9.410156 1670019774.0141
CHLD 34296 26.097656 1670019774.0141
CHLD 34297 78.964844 1670019774.0141
MEM 248.199219 1670019774.1191
CHLD 34289 9.410156 1670019774.1283
CHLD 34296 26.097656 1670019774.1284
CHLD 34297 78.964844 1670019774.1284
MEM 257.527344 1670019774.2293
CHLD 34289 9.410156 1670019774.2383
CHLD 34296 26.097656 1670019774.2383
CHLD 34297 78.964844 1670019774.2383
MEM 259.546875 1670019774.3429
CHLD 34289 9.410156 1670019774.3518
CHLD 34296 26.097656 1670019774.3518
CHLD 34297 78.964844 1670019774.3519
MEM 259.546875 1670019774.4544
CHLD 34289 9.410156 1670019774.4635
CHLD 34296 26.097656 1670019774.4635
CHLD 34297 78.964844 1670019774.4635
MEM 259.804688 1670019774.5656
CHLD 34289 9.410156 1670019774.5751
CHLD 34296 26.097656 1670019774.5751
CHLD 34297 78.964844 1670019774.5751
MEM 259.941406 1670019774.6760
CHLD 34289 9.410156 1670019774.6852
CHLD 34296 26.097656 1670019774.6852
CHLD 34297 78.964844 1670019774.6852
MEM 259.949219 1670019774.7904
